,tweets,time
57,"Laena con il pancione, non mi sento pronta per la prossima puntata soprattutto se il leak sulla sua ***** é vero

#HouseOfTheDragon #HOTD https://t.co/2RlKpAPOXz",2022-09-22 06:46:31+00:00
58,My niece out here ready to cause drama with her freedom #HouseOfTheDragon #HouseTargaryen #hotd @MillyAlcock https://t.co/NtaEPii1x5,2022-09-22 06:44:49+00:00
59,Clubfoot is undoubtedly the littlefinger of Fire and Blood #HoTD,2022-09-22 06:42:29+00:00
60,"#HOTD #HouseOfTheDragon 

❤️❤️❤️❤️ https://t.co/ocj6rSHBxQ",2022-09-22 06:42:24+00:00
61,"Mint thru contract. 👌

💎 Free mint 💎 $ETH, 2 per transaction.

https://t.co/CMLZNWimjN

#HOTD #FreeMint #NFT #PIXELART https://t.co/GqdUSf0cRF",2022-09-22 06:39:26+00:00
62,Also Ser Criston you’re coming off a bit homophobic hun #hotd,2022-09-22 06:37:12+00:00
63,"Matt Smith as ‘Daemon Targaryen’
New Official Promotional Still.
‘House of the Dragon’ Episode 6.
#MattSmith #DaemonTargaryen #HouseoftheDragon #Hotd 
Image HBO #Hbo https://t.co/x3aqMRY74q",2022-09-22 06:36:58+00:00
64,"🙉🙉🙉 #HOTD  
Source: https://t.co/EFeHpcaXWI https://t.co/XSDrvTquQ7",2022-09-22 06:36:52+00:00
65,Why am I rooting for Daemon and Rhaenyra am I a pervert #hotd,2022-09-22 06:36:14+00:00
66,En indha lavadas ovoru epiku munnadiyu pics vidranunga #HOTD 👎,2022-09-22 06:35:59+00:00
67,"#boss @fordrachel !!!  Daemon knows nothing at least Jhon Snow did knew something !

#got #HOTD
#daemon #targaryen",2022-09-22 06:34:16+00:00
68,"ALL THOSE STILLS FOR HOUSE OF THE DRAGON EPISODE 6 THO!!!! im so ready for the second half of this season! #HOTD 

i shamelessly name hotd as the best tv series of the year! fire and blood!",2022-09-22 06:33:37+00:00
69,🤣🤣🤣🤣 #HOTD #HouseOfTheDragon https://t.co/xA0b1seFlv,2022-09-22 06:33:34+00:00
70,Beauty standars in the #got #HOTD are weird ! Daemon is at least colore blind ! Calling that Vale Beauty a bronze bitch ! Shes more of a #bossbitch ! To short of a role for @RachelRedford,2022-09-22 06:30:06+00:00
71,"Daemon Targaryen (Matt Smith) is not only a dad, he’s a girl-dad and I love that for him 😭❤️ #houseofthedragon #hotd https://t.co/l1j0YXUN3Z",2022-09-22 06:20:15+00:00
72,"Questa è sicuramente dopo *QUELLA* scena 💔

#HouseOfTheDragon #HOTD https://t.co/TAZDtrY1aR",2022-09-22 06:19:28+00:00
73,"カーダシアン家の #HOTD パロ、本編より王国運営うまくいきそうで困る
 #民主主義で結果を出してきた有能世継ぎたち 
 https://t.co/t8DRkVyc45",2022-09-22 06:17:16+00:00
74,"🤔🤔 #HOTD #episode #GameOfThrones  
Source: https://t.co/JP7uYAyxSe https://t.co/CdfTjkxUjh",2022-09-22 06:11:59+00:00
75,"Yo no me referiré a Aegon el mayor con el II, porque para mí el usurpó y Rhaenyra nunca la colocaron como Rhaenyra I, puro machismo, así que a mí no me verán diciéndole al usurpador como segundo, porque es darle legitimidad a su usurpación 😤.

#HouseOfTheDragon
#HOTD",2022-09-22 06:08:39+00:00
76,"Daemon Targaryen, kızları Baela (adını babası Baelon'dan almıştır) ve Rhaena (adını Laena'nın annesi Rhaenys'den almıştır) ile #HouseoftheDragon'un 6. bölümünde #HOTD
#HouseOfTheDragonHBO https://t.co/ge2pmYQG31",2022-09-22 06:04:48+00:00
77,Open relationship in the house of the dragon. How Progressive. #hotd,2022-09-22 06:03:22+00:00
78,The first Lord Commander of the Kingsguard is Ser #CorlysVelaryon same name as #HouseOfTheDragonHBO ‘s Corlys — news to you or old news? #HouseOfTheDragon #hotd,2022-09-22 06:02:22+00:00
79,Rhaenyra and Laenor after their agreement. #hotd #HouseoftheDragon https://t.co/QwJmEZRMHo,2022-09-22 06:02:11+00:00
80,The casting department in #HOTD delivered https://t.co/LFo9F0cD50,2022-09-22 06:01:28+00:00
81,finalmente vi o 5o episódio de #HOTD e nada na parte que leva à morte do Joffrey fez sentido,2022-09-22 06:00:26+00:00
82,"Me after watching Game Of Thrones Season 8 finale 
#HOTD #HOUSEOFTHEDRAGON https://t.co/4rHvE4AK8P",2022-09-22 05:59:56+00:00
83,"Matt Smith as ‘Daemon Targaryen’
New Official Still 🔥
‘House of the Dragon’ Episode 6.
#MattSmith #DaemonTargaryen #HouseoftheDragon #Hotd 
Image HBO #Hbo https://t.co/HNLepSJg2l",2022-09-22 05:58:27+00:00
84,"It’s a wedding in Westeros, adjust your expectations accordingly #HotD E5",2022-09-22 05:58:10+00:00
85,"Avisa lá que:

• Lorde Larys Strong (#Clubfoot / #PéTorto) MANCOU para que Lorde Petyr Baelish (#Littlefinger / #Mindinho) pudesse CORRER. 

#ACasaDoDragao       
#HOTD
#HBOMax 
#HouseOfTheDragon    
#HouseOfTheDragonHBO https://t.co/gytwJF0qXk",2022-09-22 05:53:51+00:00
86,"Y así, mi vida. #HOTD https://t.co/AjmQnW5eNd",2022-09-22 05:49:06+00:00
87,"If you could choose just one protector as you travel the Seven Kingdoms, who would it be? #asoiaf #HouseOfTheDragon #hotd #GameOfThrones",2022-09-22 05:42:58+00:00
88,finally caught up on #hotd 🫣🫣,2022-09-22 05:42:38+00:00
89,doesn't he? #HouseOfTheDragonHBO #HOTD #CristonCole https://t.co/s7R5MK9ryU,2022-09-22 05:42:01+00:00
90,"""We Light the Way""

#S01Ep05

#HOTD",2022-09-22 05:41:37+00:00
91,"Their reunion is all I’m waiting for tbh

#daemyra #HouseOfTheDragonHBO #HOTD https://t.co/2rsFtt7CFc",2022-09-22 05:40:35+00:00
92,Which of these four Targaryens do you like best? #asoiaf #GameOfThrones #HouseOfTheDragon #hotd,2022-09-22 05:39:17+00:00
93,"""I should have married him"" -Alicunt Hagtower-
#HOTD #HOUSEOFTHEDRAGON https://t.co/RjXGViETMh",2022-09-22 05:38:37+00:00
94,Who is your favourite Conquest Queen? #asoiaf #GameOfThrones #HouseOfTheDragon #hotd,2022-09-22 05:32:45+00:00
95,"According to the outfit Daemon is wearing in the first photo from today, I assume the old photo of Daemon (on the right) we got a long time ago is also from episode 6. #HouseOfTheDragon #HouseOfTheDragonHBO #HoTD https://t.co/MrLexUawm1",2022-09-22 05:28:20+00:00
96,#hotd https://t.co/AozM1GfDiJ,2022-09-22 05:27:28+00:00
97,"I thought I had seen that before
#hotd https://t.co/mUcrcpZK2E",2022-09-22 05:26:59+00:00
98,"صباحكم مارق 🖤.
#HOTD 
#HouseOftheDragon https://t.co/hDGpzREXdk",2022-09-22 05:25:47+00:00
99,"Plan-Tea
#hotd https://t.co/oHt8WZUFa9",2022-09-22 05:25:24+00:00
100,"admito que yo amaba a Ser Criston, quedé triste y decepcionada de lo loco que se volvió #HOTD #HouseOfTheDragonEp5 #HouseOfTheDragonHBO",2022-09-22 05:24:33+00:00
101,"¿Es una verdad que duele?
#HouseOfTheDragonHBO 
#HOTD 
#LaCasadelDragon https://t.co/2gidGIx1qY",2022-09-22 05:23:59+00:00
102,"Damn right 
#hotd https://t.co/YwYRCCV8g8",2022-09-22 05:23:45+00:00
103,yo vi que era una boda e inmediatamente supe que eso no iba a terminar en nada bueno #HOTD #HouseOfTheDragonEp5 #HouseOfDragon,2022-09-22 05:23:41+00:00
104,"I know Daemon is that one non misogynistic dad who raises empresses 
#HouseOfTheDragon #hotd https://t.co/BeVLiUoYOS",2022-09-22 05:22:43+00:00
105,Warner Media has shared new photos of the upcoming episode 6 of House of the Dragon. Find the rest in comments of this thread. #HouseOfTheDragonHBO #HouseOfTheDragon #HoTD https://t.co/DKNuYR6EDy,2022-09-22 05:22:43+00:00
106,are we just not gonna talk about how hot his stance is or ??? #hotd #DaemonTargaryen https://t.co/dWoviXxOlC,2022-09-22 05:19:37+00:00
107,"Daemon father will be very sweet to see!

#HouseoftheDragon #HOTD https://t.co/NeiI9ylcbQ https://t.co/Bzfgysirbs",2022-09-22 05:19:19+00:00
108,"In Westerosi society, which would you rather be?#asoiaf #GameOfThrones #HouseOfTheDragon #hotd",2022-09-22 05:18:22+00:00
109,we need to discuss because why is Helaena holding a snake #hotd https://t.co/RbMkODGqbo,2022-09-22 05:17:07+00:00
110,"Idk why tf they did not show where Daemon went. Daemon &amp; Rhaenyra got separated. Laena looked for Laenor. Daemon probably saw Laena first and stopped her from interfering with the chaos. She wasn't at her brother's wedding at the end.

#HouseOfTheDragon #HOTD https://t.co/oWkLzNJC6N",2022-09-22 05:15:21+00:00
111,#HOTD.❤️,2022-09-22 05:14:20+00:00
112,We must all mourn in our own way. Good mourning everyone. #HouseOfTheDragon #HotD https://t.co/hleD0il7Wl,2022-09-22 05:06:57+00:00
113,"When can we get Ser Crispin Glover, Lord of the Lone Pine?
#hotd",2022-09-22 05:06:48+00:00
114,Commands a room like her mama 😍 #HOTD https://t.co/X3X9whT3PR,2022-09-22 05:05:55+00:00
